# Inventory of the page snapshots the published measurements were taken over.
# taken_at      2026-08-10
# pages         3062
# messages      61240
# id_range      260790..321830
# contiguity    no gaps
# digest        sha256:10266cbf775357b86577c9e3acd3494c86c670149511a5e7abbf236044840405
# The digest is over the sorted per-page digests. It answers 'is this the same
# corpus'. Completeness is the contiguity line; the right window is id_range.
page,id_lo,id_hi,messages,bytes,sha256
page-000263670-000263689.html,263670,263689,20,102378,8ef9c181c817519661e92b17fcc8a7437bcd74cc429b225555b164e8fa1274ac
page-000263690-000263709.html,263690,263709,20,105250,24147ec2fabb7412a758fffe496aabaf098b5c65dad0f1b6f2adf0370d1a638b
page-000263710-000263729.html,263710,263729,20,103805,1994434172f140a085d13555162796512026b39d1d45b6f075eb707eb4d5caa0
page-000263730-000263749.html,263730,263749,20,108281,a50431bd17ce58bfe33e05822cb3e649a1a2da5990c27707f67610b293e720a3
page-000263750-000263769.html,263750,263769,20,106641,bdbe1e539a8099821b53647f8fc3d9261ffb23fad0f45f473a62c002e6f061f2
page-000263770-000263789.html,263770,263789,20,103947,2c8282edd3a526fec9018b96997890ecd4d6a852eba9eee76e58f40e32fce317
page-000263790-000263809.html,263790,263809,20,105894,f6298452d208e44b11ac74f4a4804b57fb0976a0a3aec0c5d208015132066579
page-000263810-000263829.html,263810,263829,20,110452,34e9b227976b362f1ca6125cb0d3b269b8f0ec87c0c53992210101e21c0e5a0c
page-000263830-000263849.html,263830,263849,20,107310,ab055bfa1c32fba98cdab9382230220688da54d464ffc0a4d5c2733b23711781
page-000263850-000263869.html,263850,263869,20,102710,cd2a9804f30fbd4a967fa750c365fede4cf2d8e76720c2236be5af814494450a
page-000263870-000263889.html,263870,263889,20,102867,eb2e2593627ccddc3daa0403233f03c14ffcbf9fe63306fe4872719f4b62ba8c
page-000263890-000263909.html,263890,263909,20,103639,efaa40d5a76f410d39e310ff7117a722e465cd6287651350b31f95246787d187
page-000263910-000263929.html,263910,263929,20,102105,0517cc15cf8d70676ab37991e7320cd435f503f8edb6655df4cf255a457f8fc9
page-000263930-000263949.html,263930,263949,20,104592,f9c291c8e493f263bccc5b1e9ab75ba2382055f1d5bc0091b58b17136effa77a
page-000263950-000263969.html,263950,263969,20,104534,fca263baed196577e61faea4f71ed8cabbf2dc0777d344781c13fc13de43bbf8
page-000263970-000263989.html,263970,263989,20,104470,ec09997fce5b4196ac8f50130f6523119c840f7236cbd5616c7e0264be12b3a7
page-000263990-000264009.html,263990,264009,20,105045,eb1fd8f19f466d37627191033b2c53ea1303ece5a52875ae943aae517b0297d3
page-000264010-000264029.html,264010,264029,20,105730,9bd850171fdd4212a7a704ff37ded16c78109cf8523eec8d04bbd6cf274cad86
page-000264030-000264049.html,264030,264049,20,102852,43cb7f18eca6c523ffecd212b1d647c22c43a3c9c01728779f177fe9b4392adb
page-000264050-000264069.html,264050,264069,20,112399,684e5e8e446759284a2f4d03da114ee1a284206ea7e968c1cf4f2357fba55673
page-000264070-000264089.html,264070,264089,20,109451,47ca2a84cf957c51bc85a46b243464ee38f48b613d972811ea66fde58ef178ec
page-000264090-000264109.html,264090,264109,20,105277,d347d128ed7192cf6fe0172a11c48ca63f9201c9c97be6cf40d9e3d6115529bf
page-000264110-000264129.html,264110,264129,20,110247,3d910dec80eab04440860552847a6b77fc88de1ff83da2bbb6ed094235d9dab1
page-000264130-000264149.html,264130,264149,20,104245,a859d851147fa28f9dd84ed9c1f5ff5091235233a1edf844ceea457813c170e6
page-000264150-000264169.html,264150,264169,20,103758,4cc00b51144564d9144963bdbeed258ef4629ced778f53091b7177fb0b44898e
page-000264170-000264189.html,264170,264189,20,105318,89ecdb50847f3736fddcbdb5a0f946a2e8b20fd1b9944b1455cb2194e1878b77
page-000264190-000264209.html,264190,264209,20,107179,8156f66976443f6c34b290547bd427010c3df5f10720bacf4be83ef113575ae5
page-000264210-000264229.html,264210,264229,20,104780,e405921a53fe37ff8bcaec7286a7e396c0ac3d44a225e906e26229e06a302c6e
page-000264230-000264249.html,264230,264249,20,103613,ea74deb1017072bd8c7537b48077673d572abe01cc19cf31fe2cc58c427fe711
page-000264250-000264269.html,264250,264269,20,104763,72a9e60633347642bdd57a9306ecf27057d30503dc01497d7c8307b5d1284017
page-000264270-000264289.html,264270,264289,20,102281,da9ce2f24dd6262abe30f8ffe95da99c47e6b9fa3546fbb3e9d2e4d28ac79842
page-000264290-000264309.html,264290,264309,20,105217,b582410d0505c80f16348acf2b9cd0f5cef0056b6b8396f25ab23a9712f9a5c8
page-000264310-000264329.html,264310,264329,20,104660,aaf5585c4f9dc0af1cf3ca275ed2afd9604df2e60759cfd935c1a3f73e90692f
page-000264330-000264349.html,264330,264349,20,107305,4e699c6d3d22f691ae2b6b3b2cc57eef68837440a041353770a407cda01ed757
page-000264350-000264369.html,264350,264369,20,107657,63cb9d4e845268487f378318b351f9db262947ded3d8adf90950dddd1f1fcd9c
page-000264370-000264389.html,264370,264389,20,108069,d369ce7ae39b6fe48adcdb6450b1634a6b6d1cbae2c17f826f40fb6c0a4224df
page-000264390-000264409.html,264390,264409,20,113437,ac91ff9a2ec8ee188a4c827d9d1094f290dfcaf735ddefdf061f6a7fc0de9f1a
page-000264410-000264429.html,264410,264429,20,105751,7d2399bc897528c49d4510c954addbd662b78b9a3dea0bbd37518cc0e40ac01f
page-000264430-000264449.html,264430,264449,20,105596,7010857d558a049ad4895119f7445544e68dcd459b86b1b7bb21f6d17a86f334
page-000264450-000264469.html,264450,264469,20,111992,6468755a78717862cea4e682d1f36525a9f9f43a4692628b7571eecb65910d1a
page-000264470-000264489.html,264470,264489,20,105032,dd240abf42468ab32b84df2772223986962d98e7f85884c5ce870c31e1c6d5ef
page-000264490-000264509.html,264490,264509,20,102809,b25ce65b8e6eb94f07af98437fb034a583c164c9615473e3add48e421a66021c
page-000264510-000264529.html,264510,264529,20,103336,1ee0f3f487d52d3997e140c2c802233c4e157d86e287984be8a4a3af972564af
page-000264530-000264549.html,264530,264549,20,106227,d8e332d8b50c1161fe4b0bef5e117690950ec4a1a1bd9fce272902defb57834b
page-000264550-000264569.html,264550,264569,20,105626,1ad207e1257f1e4381d8b8e5e07b2999421ae2643dade41d78d27da650e8fcd1
page-000264570-000264589.html,264570,264589,20,106475,f193d33df39b209254093e9b7cff7b5dc28ba90cfe32f45eddf10ee77006ba62
page-000264590-000264609.html,264590,264609,20,112724,bbd9b273979c1b9de4fca6672aa53d4a8f897cf70fb976b85e306721fceae710
